Día,"Nombre de la campaña",Alcance,Impresiones,"Importe gastado (EUR)","Clics (todos)","CPC (todos)","CTR (todos)","Inicio del informe","Fin del informe"
2020-12-31,"EU_Traffic_Mid Funnel_OD",0,0,0,0,,,2020-12-31,2020-12-31
2020-12-31,EU_Conversions,66832,67167,40.75,559,0.07289803,0.83225393,2020-12-31,2020-12-31
2020-12-31,EU_Foreign_Conversions_AddtoCart_Catalogue_002,0,0,0,0,,,2020-12-31,2020-12-31
2020-12-31,"Publicación de Instagram: GULLWING T-SHIRT |...",0,0,0,0,,,2020-12-31,2020-12-31
2020-12-31,BE_Conversions_ProductView,0,0,0,0,,,2020-12-31,2020-12-31
2020-12-31,EU_Conversions_ProductView_Artofdimension_01,0,0,0,0,,,2020-12-31,2020-12-31
2020-12-31,OD_Conversions_ProductView,0,0,0,0,,,2020-12-31,2020-12-31
2020-12-31,EURU_Conversions_ProductView,0,0,0,0,,,2020-12-31,2020-12-31
2020-12-31,Catalog_EU_ViewContent_001,0,0,0,0,,,2020-12-31,2020-12-31
2020-12-31,EU_Conversions_ProductView,0,0,0,0,,,2020-12-31,2020-12-31
2020-12-31,EU_Conversions_ProductView_Cappiello_001,0,0,0,0,,,2020-12-31,2020-12-31
2020-12-31,EU_Conversions_ProductView_Citrus_001,0,0,0,0,,,2020-12-31,2020-12-31
2020-12-31,EU_Conversions_CBO_ProductView,0,0,0,0,,,2020-12-31,2020-12-31
2020-12-31,EU_Conversions_ProductView,0,0,0,0,,,2020-12-31,2020-12-31
2020-12-31,ES_Conversions_ProductView,0,0,0,0,,,2020-12-31,2020-12-31
2020-12-31,EU_Conversions_ProductView_Kirrin_001,0,0,0,0,,,2020-12-31,2020-12-31
2020-12-31,"Publicación de Instagram: BAGOUVE ™ organic...",0,0,0,0,,,2020-12-31,2020-12-31
2020-12-31,Test_Imagination,0,0,0,0,,,2020-12-31,2020-12-31
2020-12-31,ESvEU_Conversions_ProductView_Cupid,0,0,0,0,,,2020-12-31,2020-12-31
2020-12-31,EU_Foreign_Conversions_VC_Kandinsky,0,0,0,0,,,2020-12-31,2020-12-31
2020-12-31,EU_Conversions_ViewContent,18060,18085,11.16,160,0.06975,0.88471109,2020-12-31,2020-12-31
2020-12-31,EU_Conversions_Airmadrid_001,0,0,0,0,,,2020-12-31,2020-12-31
2020-12-31,EU_Conversions_CBO_ProductView_Single,0,0,0,0,,,2020-12-31,2020-12-31
2020-12-31,NorthEU_Conversions_ProductView_Kirrin_005,0,0,0,0,,,2020-12-31,2020-12-31
2020-12-31,EU_Conversions_VC_Kandinsky_001,0,0,0,0,,,2020-12-31,2020-12-31
2020-12-31,EU_Conversions_CBO,0,0,0,0,,,2020-12-31,2020-12-31
2020-12-31,EU_Conversions_ProductView_Languages,0,0,0,0,,,2020-12-31,2020-12-31
2020-12-31,"Publicación de Instagram: All our pieces come...",0,0,0,0,,,2020-12-31,2020-12-31
2020-12-31,EU_Conversions_VC_Carousel_Mix,0,0,0,0,,,2020-12-31,2020-12-31
2020-12-31,EU_Conversions_Test_Audience,0,0,0,0,,,2020-12-31,2020-12-31
2020-12-31,EU_Conversions_Purchase_Mix_001,0,0,0,0,,,2020-12-31,2020-12-31
2020-12-31,"Publicación de Instagram: BAGOUVE X JORGE PIÑUELA...",0,0,0,0,,,2020-12-31,2020-12-31
2020-12-31,Test_EU_Conversions_ViewContent_Europe_MonaLisa,0,0,0,0,,,2020-12-31,2020-12-31
2020-12-31,ES_Conversions_ProductView,0,0,0,0,,,2020-12-31,2020-12-31
2020-12-31,EU_Conversions_ProductView_Kandinsky_001,0,0,0,0,,,2020-12-31,2020-12-31
