Día,"Nombre de la campaña",Edad,Sexo,Alcance,Impresiones,"Importe gastado (EUR)","Clics (todos)","CPC (todos)","CTR (todos)","Inicio del informe","Fin del informe"
2020-12-31,EU_Conversions_ViewContent,18-24,male,3691,3691,1.69,32,0.0528125,0.86697372,2020-12-31,2020-12-31
2020-12-31,EU_Conversions,18-24,unknown,48,51,0.04,0,,0,2020-12-31,2020-12-31
2020-12-31,EU_Conversions_ViewContent,18-24,unknown,7,7,0,0,,0,2020-12-31,2020-12-31
2020-12-31,EU_Conversions_ViewContent,25-34,unknown,4,11,0,0,,0,2020-12-31,2020-12-31
2020-12-31,EU_Conversions_ViewContent,25-34,male,1463,1463,0.91,19,0.04789474,1.2987013,2020-12-31,2020-12-31
2020-12-31,EU_Conversions_ViewContent,25-34,female,2946,2946,2.73,33,0.08272727,1.12016293,2020-12-31,2020-12-31
2020-12-31,EU_Conversions_ViewContent,18-24,female,9736,9967,5.83,76,0.07671053,0.7625163,2020-12-31,2020-12-31
2020-12-31,EU_Conversions,18-24,female,29520,29956,14.97,221,0.06773756,0.7377487,2020-12-31,2020-12-31
2020-12-31,EU_Conversions,25-34,female,15248,15408,12.73,138,0.09224638,0.89563863,2020-12-31,2020-12-31
2020-12-31,EU_Conversions,25-34,male,8250,8250,5.51,81,0.06802469,0.98181818,2020-12-31,2020-12-31
2020-12-31,EU_Conversions,25-34,unknown,107,107,0.1,0,,0,2020-12-31,2020-12-31
2020-12-31,EU_Conversions,18-24,male,13216,13395,7.4,119,0.06218487,0.88839119,2020-12-31,2020-12-31
2020-12-31,"EU_Reach_Upper Funnel_OD",25-34,unknown,0,18,0,0,,0,2020-12-31,2020-12-31
2020-12-31,"EU_Reach_Upper Funnel_OD",18-24,unknown,41,41,0,0,,0,2020-12-31,2020-12-31
2020-12-31,"EU_Reach_Upper Funnel_OD",25-34,female,5773,5773,0.55,1,0.55,0.01732202,2020-12-31,2020-12-31
2020-12-31,"EU_Reach_Upper Funnel_OD",25-34,male,7488,7802,0.97,1,0.97,0.01281723,2020-12-31,2020-12-31
2020-12-31,"EU_Reach_Upper Funnel_OD",18-24,male,17648,18848,1.71,4,0.4275,0.02122241,2020-12-31,2020-12-31
